Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
0,1,32,1,2,3275,5,5,5,5,5,5,5,5,3,5,4,3,5,5,118,109.0
0,1,10,0,1,258,1,4,1,5,4,1,4,4,4,5,1,3,2,4,0,0.0
0,1,10,0,1,261,2,4,2,1,2,2,2,2,1,4,3,5,1,2,0,0.0
1,1,18,1,2,2072,4,4,4,4,4,4,4,4,4,3,4,3,5,4,0,0.0
0,1,29,1,2,345,3,3,4,3,4,4,4,4,4,4,5,4,5,4,0,0.0
1,0,26,1,2,1389,1,1,1,1,3,1,3,3,3,2,5,5,5,3,57,80.0
1,1,52,0,1,447,4,4,4,4,1,4,1,1,4,1,3,3,4,1,27,17.0
1,1,36,1,2,440,2,3,3,3,5,4,3,2,2,2,2,2,2,4,4,0.0
0,1,42,1,1,926,2,3,3,3,2,2,2,4,2,4,4,2,3,2,122,195.0
0,1,35,1,1,1091,5,2,2,2,5,5,5,5,1,3,3,4,2,5,0,0.0
1,0,25,1,2,255,1,0,1,3,3,1,3,3,5,2,4,5,5,3,0,0.0
1,1,50,1,2,2924,5,5,5,5,5,5,4,5,5,5,5,4,5,5,0,0.0
1,1,22,1,2,1590,2,1,5,5,2,2,2,2,4,4,3,1,4,2,1,3.0
0,1,31,1,2,3025,3,4,3,3,5,5,5,5,5,2,5,4,4,5,10,0.0
1,1,32,1,2,2230,3,3,5,3,4,5,4,4,5,4,5,4,5,4,0,0.0
0,0,35,1,1,759,2,2,2,3,5,2,3,5,5,4,1,4,4,5,0,0.0
0,1,62,0,1,954,3,2,3,3,2,3,4,4,4,3,4,3,4,1,0,0.0
0,1,70,0,1,1379,2,5,2,1,3,2,3,1,1,2,1,4,1,5,6,0.0
