iter	Passed	Remaining
0	15	1568
1	31	1554
2	47	1535
3	62	1507
4	77	1479
5	94	1485
6	120	1596
7	136	1574
8	168	1707
9	183	1654
10	198	1606
11	215	1580
12	229	1533
13	245	1507
14	260	1476
15	275	1448
16	291	1422
17	307	1399
18	324	1381
19	338	1355
20	355	1337
21	370	1312
22	389	1305
23	403	1278
24	421	1264
25	437	1246
26	451	1221
27	465	1197
28	483	1182
29	523	1221
30	554	1235
31	574	1220
32	594	1207
33	611	1187
34	634	1178
35	652	1159
36	678	1155
37	695	1133
38	709	1109
39	724	1087
40	742	1067
41	756	1045
42	771	1023
43	786	1000
44	802	980
45	816	958
46	830	937
47	850	921
48	865	901
49	881	881
50	896	861
51	911	841
52	927	822
53	944	804
54	959	785
55	973	765
56	988	745
57	1001	725
58	1016	706
59	1029	686
60	1046	668
61	1059	649
62	1076	632
63	1091	613
64	1107	596
65	1129	581
66	1148	565
67	1173	552
68	1189	534
69	1203	515
70	1220	498
71	1237	481
72	1251	462
73	1266	444
74	1283	427
75	1296	409
76	1311	391
77	1327	374
78	1340	356
79	1357	339
80	1369	321
81	1386	304
82	1402	287
83	1417	269
84	1432	252
85	1450	236
86	1464	218
87	1480	201
88	1497	185
89	1514	168
90	1530	151
91	1545	134
92	1559	117
93	1575	100
94	1591	83
95	1608	67
96	1624	50
97	1639	33
98	1654	16
99	1669	0
